Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
COLON001	0	0.252133052586	0.023226803384665	0.12442823410869	0	0.090565828593615	0.041329269613151	0.057900350205257	0.07455483890501	0	0.073029595093306	0	0	0	0.063820933560547	0.0003	0.043916032820548	0.070685633995976	0.054032847177733	0.030097088841288	0	0	0.035	0.13981677894844785	1.0396071316552784
COLON002	0	0.10599839525009	0	0.053324233529223	0	0	0.09519474693584	0.06573620123323	0.0040382063034759	0.12999755433452	0	0.065984600489679	0.050365265057334	0	0.05775459187955	0.21607947438136	0	0.057795373170679	0.097731357435022	0	0	0	0.005	0.18005324635221237	1.0081955046447602
COLON003	0	0	0	0	0.17297347753281	0	0.127578015034	0.05530770341881	0.13883125008558	0.122759949489	0	0.022295360909105	0	0	0	0.040338701737496	0	0.07583727283635	0	0.0918598358834	0.013944067698556	0.13827436537488	0.008	0.16713381018184137	1.03270796158763
COLON004	0.057430890214838	0.14583475801419	0	0.013842973346451	0.074085429669535	0	0	0.069829295348873	0	0	0	0.061107616628027	0.29011608733152	0.01236671269185	0.069262894893742	0	0	0.05067654549098	0.080224746001875	0	0.0040414152321401	0.071180635135979	0	0.3860476853556767	0.9237720509414747
COLON005	0	0.060830631521263	0	0.12288712369667	0.060112446385072	0	0	0	0.11874292367863	0	0.013387031710028	0	0.018546797598686	0.20019101207836	0	0	0.0080491298195465	0.038927652135801	0	0.19244384134679	0.10118491816547	0.064696491863684	1.0	-0.0864	1.1313414833852988
COLON006	0.027808917084726	0.1751620526587	0	0.17854111828313	0	0	0.05164001399015	0.0077381512977339	0.15034382999894	0.046678872627198	0.058370331995841	0	0	0.043249111263607	0.023655263729076	0.029436642267058	0	0.12583644716026	0.081539247643579	0	0	0	0	0.3834775733969736	0.9254996135285355
COLON007	0	0.26146821967813	0	0	0.30367097919999	0	0.10823245127149	0	0	0	0.1023870213366	0	0	0.033300929295314	0	0	0	0.094993150555374	0.052783223298943	0	0.043164025364149	0	0.777	0.018802990710625866	1.0853471112216708
COLON008	0	0.074634834934382	0	0	0	0.4343940102841	0	0	0.077422788137459	0	0.13998495148947	0	0	0.011559443058709	0	0	0	0.015285936425754	0	0.24671803567012	0	0	1.0	-0.1128	1.1866954715709308
COLON009	0	0.054539670268408	0.041841035869567	0.16697702312295	0	0	0.036889058938672	0.05075440773459	0.085415019677455	0	0.051135330594644	0	0	0.018212535499272	0	0	0	0.053469338985686	0	0.25041791437936	0	0.1903486649294	0.537	0.0490202450181327	1.0934833660223207
COLON010	0.040247461062927	0	0	0	0.048270131694001	0.023281986042265	0	0	0.033167152355939	0	0	0.02169894211132	0.11704792181929	0.21304590833727	0.011629020220131	0.15143714744201	0.17686375536639	0.012241254614118	0.11606101959293	0	0.035008299341409	0	0	0.3956612435318551	0.9191467498959904
COLON011	0	0.14182711376991	0.027298299266053	0	0.44118625575	0	0	0	0.082161260786878	0.028719759683745	0.088282087106806	0	0	0	0.05415856338801	0.027806564912371	0	0	0.069297232517013	0.039262862819216	0	0	0.997	-0.0597	1.1429495816439996
COLON012	0	0.047312288415054	0	0.14768400457204	0	0	0.0008	0.16446158853574	0.13924292221388	0.056121554269205	0.0075558931260307	0.10477201430677	0.0065104276641711	0	0.10829004707655	0.17574800238638	0.017478374858088	0	0.02376547287189	0	0.0002	0	0.003	0.19523817327761556	1.0270403763015397
COLON013	0	0.037046342283913	0	0.0036778602805295	0.10986840442258	0	0	0.056824586593147	0	0	0.037969572052803	0.057605575937665	0.27151626204382	0.0083423857336987	0.059650853992661	0.059352068100415	0	0	0.18940280100256	0.030859240666247	0.035007699684541	0.042876347205411	0.003	0.19741632850768756	1.0058154996064248
COLON014	0.088815925748575	0.10346132515033	0	0	0.066830277530475	0.18766040720407	0	0.12479005741183	0.12457576070919	0	0	0	0	0.25787599346355	0	0	0	0	0	0.045990252781972	0	0	0.791	0.016547638393217802	1.107236650451493
COLON015	0.018006161486669	0.035063646292445	0	0.11620713986305	0.50520910768769	0	0	0	0.04955735773995	0	0	0.01814627268446	0	0	0	0	0	0	0	0.25781031424574	0	0	1.0	-0.1124	1.2153427522065796
COLON016	0	0	0	0	0	0.080820488552598	0	0.016780948121745	0	0.006357302762587	0	0.061986401803264	0	0.1363108611455	0	0.25626659224244	0	0.049831587805662	0.22734102210687	0.0040301657762852	0	0.16027462968306	0	0.2732124442571179	0.9793953762147671
COLON017	0.041366921476698	0	0.09496181728191	0	0	0.21011233423831	0.11820548402786	0	0.1012238331498	0.081021051720555	0.031572860134648	0	0	0	0.04760265181783	0	0.018354642511523	0.15574685435585	0	0.068948020360976	0	0.030883528924042	0	0.2328384951181842	0.995046589300417
COLON018	0.27167822369801	0	0.052678973046821	0.067929856941602	0	0	0.12406885783832	0.062068977369801	0	0	0	0.087866070842708	0	0.032296491236704	0.03423885639122	0	0	0.051531101926981	0.20274486043855	0	0.012897730269276	0	0.488	0.053670844481742856	1.0789637556018208
COLON019	0	0	0	0	0.1040427397745	0	0	0	0.035752927212771	0	0	0	0.2065714981275	0.2477557779016	0	0	0.30352375284305	0	0	0.10235330414057	0	0	0.138	0.10383586262379298	1.0615137056485393
COLON020	0	0	0.059511128979814	0	0.096526264923875	0.11163361600156	0.032955853548738	0	0.010519793403384	0.055808356494413	0	0.014001299044678	0.0088687790244299	0	0.026454657953491	0.14995522409461	0.0030671831701026	0.023640032244717	0.29098910928979	0	0.11606870182639	0	0	0.25707393832134323	0.9778277937303022
COLON021	0	0.02296596774814	0.096427547000931	0.123780048429	0	0	0.13909759288922	0.08497703340456	0.023853995162056	0.13267840607212	0	0.057303472797221	0.0053560959314297	0	0.019727727877161	0	0.019596513101283	0.035830698978972	0.20502612295154	0	0.011474982059378	0.02190379559699	0	0.36519261824784793	0.9345864050745014
COLON022	0	0.051812376653341	0	0	0.32017111463044	0	0.056238009808892	0	0.11902429217321	0	0.068631869197901	0	0.0033205240931093	0	0	0	0.2882850955833	0.041637687507312	0.043178875293781	0	0.0077001550587062	0	0.432	0.06111642819527966	1.0660332025880015
COLON023	0	0.023964997724505	0.053606624765218	0.041503132201621	0.038901399350685	0	0.1048309558037	0.13524211135915	0	0.24743519873691	0	0.049790423100012	0	0.026797382138888	0.064757083437446	0.024740555389859	0.081606476997006	0	0.10484020643155	0	0.0019834525634535	0	0	0.30054656093439813	0.9656505820800798
COLON024	0.12056656422461	0	0.11939789124448	0	0.099690642838713	0.033276923298299	0	0.014571473411009	0.048981655670888	0.031266253162068	0.13288322516734	0	0	0	0	0.15412895954466	0	0.14069932566136	0.0081651812689642	0	0.0963719045076	0	0.007	0.16917944637999033	1.01919623237667
COLON025	0.041484756515918	0	0.15121020835779	0	0	0.29426640153084	0.071694871524239	0	0.11300346789775	0	0.066133001815919	0	0	0	0	0.10498522332998	0.048169143194557	0	0	0.09737008447569	0	0.01168284135731	0.598	0.042342636235300844	1.0775538508472255
COLON026	0	0.10972100545329	0.091321889879485	0	0.089494779610183	0.28269552487385	0	0	0.0036295127567756	0.14158887033828	0.034378836170773	0	0	0.025536697453864	0	0	0	0	0.14224258891453	0	0.079390294548961	0	0.017	0.1533457071461645	1.0349702591242482
COLON027	0.025467740499333	0	0.07180509070727	0	0.19681276650907	0.07231688014737	0.27505549085451	0	0	0	0.22960484813183	0	0	0	0	0	0.12893718315062	0	0	0	0	0	1.0	-0.1141	1.1534453795076536
COLON028	0.021491306521775	0	0.075967936641578	0.29212440010499	0	0	0.18875144892804	0	0	0.092861924031039	0.051038552951338	0	0	0.11715820591424	0.042454717931354	0	0	0	0	0	0	0.11815150697564	0	0.22630273996050632	1.0050151637146567
COLON029	0.026618792241292	0	0.13642641867691	0.063592635524644	0	0.26157281317538	0.22487518088991	0.018456864279877	0	0	0	0	0	0.045131241137497	0	0	0.084965142473597	0	0	0.073856245039603	0.0086796208365356	0.055825045724763	0.498	0.05258771600634788	1.0648863767319328
COLON030	0	0.02144043508218	0	0	0.094711548383959	0.25603192736708	0.19481266384618	0	0	0	0	0	0.037780316969543	0.073971642103584	0	0	0.08385307184134	0.1257116000481	0.11168679435803	0	0	0	0.512	0.050975760723262355	1.05617464056582
COLON031	0.19806671443923	0	0.084592181670707	0	0.078410485725285	0.19488407561977	0	0.067453768370231	0.0500387939715	0	0	0.014902852412402	0	0	0	0	0.25027909524327	0.0013531640695471	0	0.060018868478064	0	0	0.202	0.09287106759659709	1.0609531351750134
COLON032	0.049911684717401	0	0.079081532039394	0.085253509689541	0	0.097782634514272	0.40266152059009	0	0	0	0.15079293551701	0	0	0.037791323501442	0	0	0.03603385592582	0	0.060691003505029	0	0	0	0.014	0.15844456702426765	1.0306010091876947
COLON033	0.042454654980841	0	0.074671561505395	0.021314039192169	0	0.12292574111724	0	0	0.17800546875374	0	0	0.16422453031831	0	0.025308744536365	0.091408026821712	0.051390719647715	0.075774786893201	0	0.14006304359042	0	0.012458682642889	0	0.51	0.05132231110280043	1.0746240863537242
COLON034	0	0.022815140414067	0.093047658137947	0.07215599966791	0	0.088482251608432	0.2722246254225	0.048762450948035	0.02314617241236	0.059640248282258	0.094991723810179	0	0	0.01526642608732	0.029070531763402	0.025187118284172	0	0.053297586151127	0.014972239636314	0	0	0.086939827373978	0	0.40721861301909346	0.9135409609336563
COLON035	0	0.077304391027937	0	0	0.12210368334592	0.11182817422022	0	0	0	0.07165809894454	0.067384893118963	0	0	0	0	0	0.18541353617851	0	0.18840411851437	0	0.17590310464955	0	0.994	-0.0519	1.0934157660927053
COLON036	0	0	0.07484905179147	0.3059175229175	0	0	0.031154544062867	0.063385618871436	0	0.049418983076499	0.048431782035164	0.040924320731183	0.036699063718533	0.031778446756412	0	0.11306926194295	0	0.061947388123161	0.10521210198331	0	0	0.03721191398952	0	0.38956707541369745	0.9225139277865243
COLON037	0.016000456774484	0	0.12142310193497	0.17171256076969	0	0.054433825200806	0	0	0	0.078920582564653	0	0.054727764565455	0.085165382406	0	0	0.21012876024717	0	0	0.14185360945666	0	0	0.065633956080114	0	0.28605742589940375	0.9678803777830575
COLON038	0.15964768500706	0	0	0.03149757610446	0	0.18094332886064	0.015211125692225	0	0	0	0.014273914625183	0	0.0099814320091484	0	0.070518368952517	0.10646932618293	0.13554982792374	0	0.2759074146421	0	0	0	0.07	0.12407765679719174	1.0304553066499893
COLON039	0.29001005225103	0	0	0.027786429142617	0	0.17131557719198	0	0	0	0.16187338419475	0	0	0	0	0	0.086301199494688	0	0	0.11866911386109	0	0.14404424386385	0	0	0.24450091714075264	0.994577989069985
COLON040	0.15084870381361	0.052299826202107	0	0	0	0	0.33494651491903	0	0	0	0	0	0	0	0	0	0.19986882860227	0.046990976773826	0	0.21061521986714	0	0.0044299298220218	1.0	-0.1257	1.1414542080196313
COLON041	0.27796365850701	0	0	0.074054373469833	0	0.187657757053	0	0.023775896330814	0	0.04874225264043	0	0	0	0	0.05739233531177	0.042959401448642	0.1653363636523	0	0	0.024584592395686	0.097533369190515	0	0.467	0.05671639773437073	1.0693753755784827
COLON042	0.011489770887971	0	0	0.16075431175002	0	0	0.016782194655049	0.058265801984392	0.0039657793281772	0	0	0.11005723961636	0	0.12970036703271	0.056530760799253	0.15369506065051	0.1456694793706	0.044692611477118	0.067399619041824	0	0	0.040997003406015	0	0.24033764815235187	0.9867877675100548
COLON043	0.018459223296453	0	0.08448797668204	0.018564987891796	0	0.25610134722621	0.043855663162195	0.08209947349747	0.081060301323299	0	0.12927776147081	0	0	0.013458874815019	0.025892901269052	0	0.24150933793291	0.0052321514327433	0	0	0	0	0.013	0.16062907598039203	1.0278923006209142
COLON044	0	0.16698037235059	0	0	0.31784872583707	0	0	0	0	0	0.0066938135355341	0.0027259428518005	0	0.068840997210981	0	0	0	0	0	0.30397018993386	0.056716238786675	0.076223719493484	1.0	-0.1464	1.1852145896367106
COLON045	0	0.049315925821151	0	0	0.2454931616537	0	0	0	0	0	0.11655129708727	0	0.0003	0.300402612899	0.038749337441277	0	0	0	0	0.091023605379308	0	0.15817562517604	1.0	-0.0712	1.1398060515463568
COLON046	0	0	0.046333039349459	0.13255615778471	0	0.33701488158342	0.10504708528293	0.028165923550753	0.092955213673758	0	0.12073224825191	0	0	0	0	0.035268322313225	0.08399925888406	0.017927869325783	0	0	0	0	0	0.2675651243825919	0.9977466696000783
COLON047	0.18325178627391	0	0	0	0	0	0.075958096690974	0.12510001577287	0.082997926976681	0.0096105029486096	0.050484555839734	0.067195708997219	0	0.079674693718644	0.068206932417318	0.014506886371499	0.11825702072351	0.02039977867837	0.046861856081425	0	0.013084338570679	0.044409899938555	0	0.38418443202214503	0.9229393813366724
COLON048	0.11416370180663	0	0.13592164782187	0	0	0.20922788899348	0	0	0	0	0.020645981489269	0	0.011579469080386	0	0	0	0.097759161658242	0.030398944031068	0.20720138506393	0	0.085928335524886	0.087173484530228	0.206	0.09216786984045097	1.0488188450556146
COLON049	0	0.022824023411655	0	0.25432970312152	0	0	0.10206845691957	0.0525974395906	0	0.11256211751555	0	0.054933289007727	0	0	0.06009052427502	0.13922981037366	0	0.0515094696317	0.149855166153	0	0	0	0	0.2924202335644019	0.9701754391101037
COLON050	0	0.098933933265631	0	0	0	0.013673117348422	0.0092186325706756	0	0	0	0.0086013511756304	0.06476988261149	0.05855107783335	0	0.015638026959177	0.36876978694883	0	0	0.33794325953738	0	0	0.023900931749414	0.08	0.11968658700385258	1.0496552569218875
COLON051	0.015400511324511	0.05271208687822	0.086453723494785	0	0.11694446024545	0.027119989553221	0	0.035473586355361	0.040307637311953	0	0.0073117783720795	0	0.14222050320829	0.34454816065024	0	0	0	0.11966973815311	0	0.011837824452787	0	0	0	0.23259599436210493	0.9983347597268921
COLON052	0	0.056669430749466	0	0	0.37745010069448	0	0	0	0.08629993646611	0	0	0	0	0.23725970966455	0	0	0	0.12886882404924	0	0.11345199837616	0	0	1.0	-0.1259	1.1612271329882762
COLON053	0	0.014629801907532	0	0	0.017718047545894	0	0	0	0.50230309779568	0	0.03067522749552	0	0	0	0	0	0.18277723333803	0	0	0.063597522031916	0	0.18829906988543	1.0	-0.1535	1.199034642549204
COLON054	0.20697550978109	0.20290064565849	0	0	0.36444635342367	0	0	0.028557255490822	0	0	0.032738176910612	0	0	0	0.051640946532701	0.059520659981368	0	0	0.05322045222125	0	0	0	0.007	0.1719943514030585	1.0519549704936035
COLON055	0.062823240230716	0.12692148915882	0.11690000374465	0.021347751939104	0	0.13324589021671	0	0.19478342319149	0	0.0097875558658778	0.13058329527074	0	0	0	0.013711738212738	0	0.015582639204847	0	0.10192871117637	0	0	0.07238426178794	0	0.25208583328604683	0.9966087492817044
COLON056	0.087417107992903	0.079601339369332	0.069006559643978	0.020215400394077	0.18879698342787	0	0.041237330712563	0	0.12342049077414	0	0.1305172518963	0	0	0.0011491868152134	0	0	0	0	0.25863834897362	0	0	0	0.696	0.029654769224279544	1.0939591213145787
COLON057	0	0.083150537847596	0.065991724969598	0.026455046962838	0.032179017641698	0	0.071809089203507	0.016108567577637	0	0.12699729455328	0	0.057209337284417	0.037947429962212	0	0	0.21360228368101	0.033706181681318	0.018779612453669	0.20222114324831	0	0.013842732932914	0	0	0.25438220718212434	0.9770361378099596
COLON058	0	0.065387721245605	0.089678812214478	0.055418875332945	0.015030901301369	0	0.1313022337624	0.15738796678219	0	0.017056111518982	0.1127814417812	0	0.020999243054598	0.041484464355028	0.029355274864877	0	0.047256517784527	0.046172587985841	0.066242809979472	0	0	0.10444503803648	0	0.2794608386675558	0.9677230017336497
COLON059	0.077552881177712	0	0.075077731049381	0	0	0.16096381778016	0	0	0	0.09979698456533	0	0.016548279552366	0.059697423814291	0	0	0.15588039439081	0.04723344405382	0	0.2463047809904	0	0.06094426262573	0	0.001	0.2080330532182568	0.9953417510006498
COLON060	0	0.073903923260662	0	0	0	0	0.083925069622833	0	0.038611270535294	0	0	0	0	0	0.033212925935217	0.0061051410971033	0.081447137861662	0.0018816015974473	0	0.26371662727981	0	0.41719630280997	0	0.348009275895908	0.9789651380519081
COLON061	0.062923697914723	0	0.043445412473364	0.020464618742938	0	0.061391275626852	0.15315920638756	0.077223874232829	0.030813787974734	0	0.068215091243959	0.02079380167826	0	0.044261501116923	0.055367856140265	0.07855963653267	0.18838434114347	0.011567286282321	0.083428612509125	0	0	0	0.014	0.15828572282152273	1.0076507352002295
COLON062	0	0.052388596075683	0.15528822480863	0	0.0063334663313197	0.097997806614528	0	0	0.041879119080365	0.14813001650575	0.011059258018955	0.022195427464914	0.049410448153431	0	0.070851701322327	0.073936900644646	0	0	0.27052903497945	0	0	0	0.075	0.12101548539011847	1.0452797710750028
COLON063	0	0.15202787809162	0.029413210085731	0	0	0.29735879055659	0	0	0	0.0092276479269877	0.058371326327134	0	0	0.046237088628308	0.066868772922312	0	0.11963947551054	0	0.053387441141756	0.078361170568171	0.066331770344392	0.022775427896463	0.904	-0.0036	1.0748313933318387
COLON064	0	0	0.056478891228122	0.27186763922171	0	0	0.065694528090127	0.055427546744554	0	0.13084860685856	0.004471951322525	0	0.034406979067123	0	0.04223256364263	0.12078644311572	0	0.02684146908258	0.083749842445755	0	0.046193909925995	0.060999629254597	0	0.43411328131457133	0.9000571665472811
COLON065	0	0	0	0.029484346259215	0.35444423564837	0	0.20999242590907	0	0	0.033583127416006	0	0.10591005367616	0	0.031872965838292	0	0	0.12580009432033	0.019122201368893	0	0.057043995967518	0.032746553596147	0	0.973	-0.0288	1.1206243544947045
COLON066	0	0.19138043788732	0	0	0.25796749371797	0.1471525062054	0.085880756633251	0.041598085353533	0	0.12059818914868	0.011098749943816	0	0	0	0	0	0	0.077300883644628	0	0.061550658157414	0.0054722393079841	0	0.901	-0.0031	1.1164214416892724
COLON067	0	0.023544480477956	0	0.058354097586494	0	0	0.026817054662866	0.0081755771383789	0.051574638033034	0	0	0.046437022370179	0.0036022577174621	0.25061073861605	0.096453614743326	0.13655616848421	0	0.098605385607109	0.095691213065571	0	0.067818241928819	0.03575950956855	0	0.4266548707704714	0.9040687536364305
COLON068	0	0.096402417003164	0	0.016227666858041	0	0.077003436415763	0.13971486776654	0	0	0	0	0.020452906470127	0	0.0064938758153298	0.14893273900482	0	0.044622379358382	0.090465049539771	0	0	0.084812498215152	0.27487216355291	0.001	0.22138683384438534	1.0182171148326202
COLON069	0	0	0	0	0.070893370767635	0	0	0.014464534499294	0.090101400699514	0	0	0.24368767402154	0	0.23101712282594	0	0	0.14847228254865	0.012891990352713	0.13688253511707	0	0.051589089167644	0	1.0	-0.1194	1.1621591986486706
COLON070	0.084132420088113	0	0	0	0.21775899112291	0.23636633999234	0	0	0	0	0.025957179471793	0	0	0	0	0	0	0.11453453311823	0	0.19157162718437	0	0.12967890902224	1.0	-0.1812	1.182143547110851
COLON071	0.061950912346591	0.087890944095311	0.029352751412226	0	0	0.31769521159018	0.12000908669891	0.023063221239873	0	0.082327240822825	0.079981735162856	0	0	0.05831205465738	0	0	0.0018047828477365	0.05732982964542	0	0.036377782539853	0	0.04390444694085	0.002	0.19866915613838726	1.014236164816324
COLON072	0	0.098676747929502	0.057262398205365	0	0.0022029893228003	0.090928152024001	0	0.15008503433609	0	0	0.01880546301415	0	0	0	0.041871017353693	0.077301025179268	0	0.11357805739441	0	0.11095153768325	0.051060429881328	0.18727714767614	0	0.2650127242842282	0.9786479079829538
COLON073	0	0.14190852857001	0.035406827171301	0	0	0.2889646120676	0.0013338901470774	0.01164961282298	0.079712444456989	0.061987608329169	0.093177524624903	0	0	0	0.011807128139822	0	0.035162814948345	0.16429423792353	0	0.074594770798268	0	0	0.619	0.03997175424325096	1.0846650109865719
COLON074	0.04995101858373	0	0	0	0.025596963677652	0.17164158570787	0.067059206294071	0	0	0.091346651210062	0	0.028161375844199	0	0.089435356186184	0.087620828836319	0.057811787381692	0.18837006043565	0.020297476383047	0.094945013819552	0	0.027762675639973	0	0	0.2224256506186687	0.9873826888720222
COLON075	0	0.22829917862294	0	0	0.21290885162835	0	0	0.09270524406495	0	0.24103331940916	0	0	0	0	0	0	0	0	0	0.19306046592702	0	0.031992940347572	1.0	-0.1427	1.1815377502213318
COLON076	0	0.10321269842249	0.004946401317447	0	0.33293122798996	0	0.28878666206443	0	0.0189291649445	0	0.13729637577417	0	0	0	0	0	0	0	0	0.0078388945237743	0.10605857496322	0	1.0	-0.0855	1.1432512641600612
COLON077	0	0.054154145055286	0.01750885769154	0.029934632784968	0.13528316732763	0	0	0	0	0.23078871529174	0.008968398516688	0	0	0.14518957918691	0	0.045930341261298	0	0	0.1741458986755	0	0.15809626420845	0	0.126	0.10668328456775417	1.0424297777405487
COLON078	0	0	0	0	0	0.11757248325494	0	0.06200793223427	0	0	0.0061131363647345	0.015090648131458	0	0.16865401832463	0.044214557825025	0.18083032581854	0	0.062267425782142	0	0.15464676564877	0.1130056817641	0.075597024851399	0.32	0.07433949048305506	1.066371355973281
